الرقم,عنوان السياسية,الجهة المصدرة,الهيئة/ الجهة المصدرة الإدارية بشكل محدد,التاريخ,التصنيف,شرح مبسط للقانون,المنطقة المتأثرة,ملخص التأثير,الفئة الأكثر تضرراً ,حالة التنفيذ,رابط الوثيقة,معلومات إضافية,الانتهاك على ارض الواقع/ الشهادة,مصدر الشهادة,رابط المصدر,
1,الدستور,الحكومة السورية السابقة,استفتاء ثم مرسوم رئاسي,2012,قوانين عامة,الدستور الناظم للسلطات وشكل الدولة و الحكم والياته وتوزيع السلطات، والنص على الحقوق والحريات الاساسية,كل سوريا,يُحدد دستور 2012 نظريا المبادئ الأساسية للدولة السورية بصفتها ديمقراطية ذات سيادة، ونظامها جمهوري. وينص نظرياً على التعددية السياسية وسيادة القانون والحقوق والحريات العامة. ومع ذلك، يمنح الدستور صلاحيات واسعة جداً لرئيس الجمهورية تجعل السلطة التنفيذية مهيمنة؛ فهو الذي يسمي رئيس مجلس الوزراء والوزراء ويعفيهم ، وهو القائد الأعلى للجيش ، وله الحق في حل مجلس الشعب. كما يتولى سلطة التشريع خارج دورات انعقاد المجلس أو في حالات الضرورة ، ويسمي أعضاء المحكمة الدستورية العليا بمرسوم. أما بخصوص مبدأ الفصل بين السلطات، فيلاحظ تداخل كبير يضعف استقلالية السلطات الأخرى؛ فرئيس الجمهورية يرأس مجلس القضاء الأعلى ويضمن استقلال القضاء ، مما يجعل السلطة القضائية تحت إشرافه المباشر. كما أن المحكمة الدستورية (التي يعين أعضاءها) هي المختصة بمحاكمته في حالة الخيانة العظمى. هذا التركز للصلاحيات التشغيلية، والقضائية، والتشريعية الاستثنائية بيد الرئيس، يقلص من فعالية الفصل المتوازن بين السلطات الثلاث لصالح هيمنة المؤسسة الرئاسية.,جميع السوريين/ات,ملغى,https://www.syrian-lawyer.club/wp-content/uploads/2019/04/%D8%AF%D8%B3%D8%AA%D9%88%D8%B1-%D8%A7%D9%84%D8%AC%D9%85%D9%87%D9%88%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A%D8%A9.pdf,,,,,141
2,قانون الإعلام المرسوم التشريعي رقم 108,الحكومة السورية السابقة,رئيس الجمهورية السابق,2011,قوانين عامة,عاد إنتاج القيود الأمنية بعبارات فضفاضة، ومنح السلطة التنفيذية هيمنة كاملة على التراخيص، مما قيد حرية الإعلام عملياً وخنق استقلاليته.,مناطق الحكومة السورية السابقة,"صدر قانون الإعلام رقم 108 لعام 2011، في خضمّ موجة الإصلاحات الشكلية التي رافقت بدايات الانتفاضة السورية، لكن سرعان ما تبيّن أن القانون الجديد أعاد إنتاج القيود القديمة في صياغة حديثة، إذ احتفظت السلطة التنفيذية بقبضتها على الإعلام من خلال مصطلحات فضفاضة مثل “المساس بالوحدة الوطنية” و“هيبة الدولة”، وهي عبارات تفتقر إلى أي تحديد قانوني وتُستخدم لتبرير قمع الرأي المخالف
وحسب البحث الصادر عن رابطة الصحفيين السوريين تحت عنوان “الصحافة الأخلاقية والقوانين الناظمة لها في سوريا”، الذي قدّم قراءة نقدية معمّقة في المنظومة القانونية الحاكمة للإعلام، مبيناً كيف تحولت النصوص إلى أداة لإدامة السيطرة السياسية والأمنية بدل أن تكون ضامناً للحرية والمسؤولية. رغم أن القانون رقم 108 تضمّن مواداً تتحدث عن “استقلال الإعلام” و“حقّ الجمهور في المعرفة”، إلا أنه ربط كل أنشطة النشر والترخيص بموافقة مجلس الوزراء، مانحاً السلطة التنفيذية حقّ التدخل في التعيين والتمويل والمضمون. أما المجلس الوطني للإعلام، الذي كان من المفترض أن يكون هيئة مستقلة، فقد مُنح صلاحيات شكلية، ثم جرى إلغاؤه عام 2016 حين نُقلت صلاحياته إلى وزارة الإعلام، لتعود الرقابة من البوابة الخلفية وبغطاء قانوني جديد.
كما بيّنت الدراسة أن هذا القانون خلق بيئة طاردة للإعلام المستقل، حيث أصبح أي صحفي يعمل خارج المؤسسات الرسمية أو غير المرخّصة عرضةً للملاحقة القانونية، وتحولت عبارة “حماية الأمن الوطني” إلى سلاحٍ قانوني جاهز لإسكات الأصوات النقدية وملاحقة من يكشف الفساد أو يتناول قضايا عامة خارج السردية الرسمية.",الإعلاميون/ات,معدّل,https://www.syrian-lawyer.club/wp-content/uploads/2019/04/%D8%AF%D8%B3%D8%AA%D9%88%D8%B1-%D8%A7%D9%84%D8%AC%D9%85%D9%87%D9%88%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A%D8%A9.pdf ,,,,قوانين الإعلام في سوريا.. نصوص تُقنّن التقييد وتُقصي الحرية - رابطة الصحفيين السوريين,217
3,"القانون رقم 54 
تنظيم حق التظاهر السلمي",الحكومة السورية السابقة,مجلس الشعب,2011,قوانين خاصة أو استثنائية,لمرسوم يفرض قيوداً إجرائية، أهمها اشتراط الحصول على تعهد موثق لدى كاتب العدل من قبل منظمي التظاهرات لضمان الالتزام بالضوابط القانونية,مناطق الحكومة السورية السابقة,"لم يميز هذا المرسوم بين المظاهرة والاعتصام فبتعريفه للمظاهرة في المادة الأولى خلط الاثنين يبعضهما. هذا ويفرض المرسوم قيود إجرائية كثيرة منها الحصول على تعهد موثق من كاتب العدل من طرف منظمي التظاهرة، وهو غير مطلوب في ظل القانون الفرنسي أوغيره من قوانين الدول الأخرى. وهذا التعهد ينصّ على أن هؤلاء المنظمين يتحملون المسؤولية عن كافة الأضرار التي قد يلحقها المتظاهرون بالأموال والممتلكات العامة أو الخاصة. فالسؤال هنا ما المقصود بهذه المسؤولية وهل هي مدنية أو جزائية ؟ ألا يتعارض هذا مع الهدف الأساسي من الحصول على التصريح والذي يعني أن تقوم قوات الشرطة بتأمين الممتلكات العامة والخاصة ؟ فلماذا نرمي المسؤولية على عاتق المنظمين الذين لن يستطيعوا أبدا حماية مظاهرتهم من انخراط عناصر قد يكون هدفها التخريب بغاية الإساءة إلى المتظاهرين أنفسهم.
من ناحية أخرى، يفرض المرسوم مدة طويلة للحصول على ترخيص للمظاهرة، فهي على الأقل خمسة أيام قبل المظاهرة يمكن أن تليها مدة أسبوع للردّ من طرف الوزارة وهذا يعني امتداد الحصول على الترخيص أحيانا لأكثر من عشرة أيام يمكن خلالها أن ينقضي موعد المظاهرة، وهذا على خلاف ما هو معمول به في سويسرا مثلا التي يمكن أن تعطي التصريح بفترة أقل بكثير. كما أنّ حصر إعطاء الترخيص بوزارة الداخلية يُعقّد الأمور ويا حبذا لو كان هذا من صلاحيات المحافظات أو بعض دوائر الشرطة التابعة لوزارة الداخلية في كل مدينة أو منطقة سورية.
أما النقطة المهمة فهي عدم تضمن المرسوم على عبارة التصريح بالمظاهرة إنما يتضمن عبارة تقديم طلب ولهذا دلالة مهمة، فالتظاهر حق للمواطن والمعمول به في فرنسا مثلا هو تصريح بالمظاهرة وليس طلب ترخيص لأن هذا حق أساسي لا يحتاج إلى ترخيص إنما فقط إلى إعلام السلطات لاتخاذ الإجراءات اللازمة لتأمين المظاهرة",الناشطين/ات والمعارضين/ات,قيد التنفيذ,https://www.syrian-lawyer.club/%D8%A7%D9%84%D9%85%D8%B1%D8%B3%D9%88%D9%85-%D8%A7%D9%84%D8%AA%D8%B4%D8%B1%D9%8A%D8%B9%D9%8A-54-%D9%84%D8%B9%D8%A7%D9%85-2011-%D8%AA%D9%86%D8%B8%D9%8A%D9%85-%D8%AD%D9%82-%D8%A7%D9%84%D8%AA%D8%B8/ ,,,,ملاحظات قانونية على المرسوم التشريعي لتنظيم التظاهر السلمي في سورية,264
4,"المرسوم التشريعي رقم 43 
القاضي بتعديل مواد من القانون رقم 41 للعام 2004 والمتعلق بأراضي المناطق الحدودية",الحكومة السورية السابقة,رئيس الجمهورية السابق,2011,قوانين خاصة أو استثنائية,يمنع النص تسجيل الدعاوى المتعلقة بتثبيت الحقوق المنصوص عليها في المادة الأولى (المناطق الحدودية)، أو وضع إشاراتها، ما لم تكن هذه الإجراءات مقترنة بالترخيص القانوني اللازم (الموافقة الأمنية)..,مناطق الحكومة السورية السابقة,"عدم تسجيل الدعاوى: لا تسجل الدعاوى المتعلقة بطلب تثبيت أي حق من الحقوق المنصوص عليها في المادة 1 من هذا القانون ولا توضع إشارتها ما لم تكن مقترنة بالترخيص. 
عدم إعطاء سند تمليك: تنفذ قرارات القضاة العقاريين المتعلقة بأعمال التحديد والتحرير للأراضي الكائنة في مناطق الحدود وتسجل في الصحائف العقارية على أن تثقل عند التسجيل بإشارة تقضي بعدم جواز إعطاء سند تمليك أو تنفيذ أي عقد أو إجراء أي معاملة إلا بعد الحصول على الترخيص. 
عدم إعطاء سند تمليك: تخضع معاملات نزع الملكية الجبري للأراضي الكائنة في مناطق الحدود التي تنفذها دوائر التنفيذ بوزارة العدل بالمزاد العلني للترخيص المذكور وفي حال عدم حصول المزاود الأخير على هذا الترخيص تبطل الإحالة القطعية حكما ويطرح العقار مجدداً للبيع بالمزاد العلني. 
عدم إعطاء سند تمليك: في حال عدم تقديم طلب الترخيص خلال ثلاثة أشهر من تاريخ أيلولة الحق العيني العقاري على أراض في منطقة حدودية أو من تاريخ إشغالها عن طريق الاستئجار أو الاستثمار أو بأية طريقة كانت لمدة تزيد على ثلاث سنوات يعتبر الإشغال باطلاً.
هذه السلبيات تشير إلى تأثيرات المرسوم التشريعي رقم 43 للعام 2011 على حقوق الملكية العقارية في سوريا، مما قد يؤدي إلى تعقيدات وصعوبات في إدارة وتسجيل حقوق الملكية العقارية.",كل من يشتري عقارا، والمالكين أيضا,قيد التنفيذ,https://www.mohamah.net/law/%D9%86%D8%B5%D9%88%D8%B5-%D9%88-%D9%85%D9%88%D8%A7%D8%AF-%D8%A7%D9%84%D9%85%D8%B1%D8%B3%D9%88%D9%85-%D8%A7%D9%84%D8%AA%D8%B4%D8%B1%D9%8A%D8%B9%D9%8A-%D8%B1%D9%82%D9%85-43-%D9%84%D9%84%D8%B9%D8%A7/,,,,,191
5,"المرسوم التشريعي رقم 49
منح المسجلين في سجل أجانب الحسكة الجنسية العربية السورية
القاضي بمنح المسجلين في سجلات أجانب الحسكة الجنسية العربية السورية.",الحكومة السورية السابقة,رئيس الجمهورية السابق,2011,قوانين خاصة أو استثنائية,يقضي المرسوم بمنح الجنسية السورية للمسجلين في سجلات أجانب الحسكة (الكرد الذين جُردوا منها) بناءً على الإحصاء الاستثنائي الذي أُجري عام 1962.,منطقة الإدارة الذاتية,"هذا المرسوم ينص على منح الجنسية للمسجلين في سجلات أجانب الحسكة، أي الكورد الذين تم تجريدهم من الجنسية السورية خلال الإحصاء الاستثنائي في عام 1962، والذي جرى في عهد الرئيس السوري ناظم القدسي. في ذلك الإحصاء، تم تقسيم السكان إلى ثلاث فئات: المواطنين، وأجانب الحسكة، والمكتومين
فئة أجانب الحسكة: يشمل هؤلاء الكورد الذين تم تقسيمهم إلى أجانب بموجب الإحصاء المذكور، حيث كانت لديهم بطاقات حمراء تتيح لهم بعض الحقوق ولكن ليست كاملة مثل حقوق المواطنين السوريين
المكتومون: بينما المكتومون هم الذين لم يتم تسجيلهم في سجلات الدولة، وبالتالي حرموا من أي حق قانوني أو أي وثيقة تثبت هويتهم. العديد من هؤلاء لم يتمكنوا من تصحيح وضعهم لحصولهم على الجنسية أو حتى حق التعليم4. توضح التقارير أن نحو 171,300 فرد كانوا مكتومي القيد حتى عام 2011، ومعظمهم من الكرد الذين لم يحظوا بحقوق مماثلة للأجانب
تطبيق المرسوم: رغم أن المرسوم 49 كان بمثابة خطوة إيجابية، إلا أن تطبيقه شهد العديد من العقبات، حيث لم يُعطي الاعتبار للمكتومين، والاستمرار في تهميشهم تواصل بعد صدور هذا المرسوم، ولذلك فإن أجانب الحسكة الذين يشملهم المرسوم هم الكورد المسجلين في سجلات ""أجانب الحسكة""، مما يعني أن الكورد الذين تم اعتبارهم مكتومي القيد هم الذين لم يتمكنوا من الحصول على الجنسية . أما الأجانب فقد كان بإمكانهم ذلك. لكن حتى بعض الأجانب لم يتقدموا بطلب الحصول على الجنسية خوفا من اجبار من هم في سن الخدمة العسكرية من الالتحاق بالخدمة في ظروف الصراع والحرب السورية.",مكتومي القيد كونه لم يشملهم,قيد التنفيذ,https://www.mohamah.net/law/%D9%86%D8%B5%D9%88%D8%B5-%D9%88-%D9%85%D9%88%D8%A7%D8%AF-%D8%A7%D9%84%D9%85%D8%B1%D8%B3%D9%88%D9%85-%D8%A7%D9%84%D8%AA%D8%B4%D8%B1%D9%8A%D8%B9%D9%8A-%D8%B1%D9%82%D9%85-49-%D9%84%D8%B9%D8%A7%D9%85-20/,,“كان والدي “إبراهيم خليل” مكتوم القيد، فأورثنا هذه المشكلة، وكنا دائماً ما نقول بأننا سنصبح مواطنين لكنّ ذلك كان مجرد كلام، وحين قامت الحكومة السورية بتجنيس الأجانب في العام 2011، بدأنا في ذلك الوقت بالعمل على أوراقنا، فأخبرونا حينها أنهم سيقومون بتجنيس الأجانب أولاً ثمّ يبدؤون بالمكتومين[2]، فقمنا نحن أيضاً بإعداد ملفاتنا وجلب شهود مسنين بحيث يكونون أكبر سناً من والدي كي يذكرونه جيداً، فذهبنا إلى الحسكة، وتحديداً إلى لجنة تحديد الأعمار، وأنهينا الأوراق هناك ثم قدمنا إلى ديريك/ المالكية وثبتنا زواج والدي ووالدتي (المواطنة)، وأخذنا شهودا مسنين مرة أخرى فشهدوا أنّ والدي مكتوم وأنّ أولاده كذلك. أذكر حينها أنّ والدي كان مصاباً بجلطة دماغية وكان لا يستطيع الحديث، وحين ذهبنا إلى الحسكة من أجل الأوراق، أخذناه بواسطة الفان وكان مستلقياً، وحين تمّ الانتهاء من أوراق الأجانب تقدّمنا بأوراقنا وحدثت بعض المشاكل في دير الزور وحينها احترقت بعض دوائر النفوس والهجرة والجوازات لا أدري ما الذي حصل لها، حيث توقف بريد الدوائر الحكومية حينها وضاعت أوراق الكثير من الناس، لذا توقفنا لمدة طويلة فهذه الأوراق مهمة جداً بالنسبة لنا، لأننا لن نستطيع جلب ذات الشهود دائماً وكذلك الحصول على الأختام، لذا لم نرد التفريط بهذه الأوراق، وعلى الرغم من ذلك حاولنا مراراً الحصول على هذه الأوراق عبر محامين لكن دون جدوى.” ,https://stj-sy.org/ar/%d9%83%d8%a7%d9%86%d9%88%d8%a7-%d9%8a%d8%aa%d8%ad%d8%af%d8%ab%d9%88%d9%86-%d8%b9%d9%86-%d9%85%d9%83%d8%aa%d9%88%d9%85%d9%8a-%d8%a7%d9%84%d9%82%d9%8a%d8%af-%d8%a8%d9%86%d9%88%d8%b9-%d9%85%d9%86/,,226
6,"المرسوم التشريعي رقم 100
قانون الأحزاب",الحكومة السورية السابقة,رئيس الجمهورية السابق,2011,قوانين خاصة أو استثنائية,نص القانون على تأسيس لجنة لشؤون الأحزاب برئاسة وزير الداخلية، لكنه يواجه انتقادات لكونه محكوماً بقيود سياسية وأمنية مشددة تفرض حظراً فعلياً على المعارضة وحرية التجمع,مناطق الحكومة السورية السابقة ,"ظلّ المجال الحزبي محكوماً بقيود سياسية وأمنية أوسع من نص القانون، والتقارير الدولية والحقوقية وصفت سوريا خلال العقد الماضي بأنها من أكثر البيئات تقييداً للحقوق السياسية والمدنية، مع حظرٍ فعلي للمعارضة الجدية وملاحقة التجمع والتنظيم.
بهذا المعنى، تعثّر تطبيق القانون في تحقيق غايته لسببين متداخلين: تصميمٌ قانوني يمنح الترخيص والتمويل والرقابة لهيئات مرتبطة بالسلطة التنفيذية (اللجنة برئاسة وزير الداخلية وامتياز ترخيص أحزاب الجبهة)، وسياق سياسي عامّ لا يسمح بتنافس حرّ أو بإعلامٍ مُتاح ومتوازن.",السياسيين/ات ومؤسسي الاحزاب المعرضة للنظام السابق,قيد التنفيذ,https://www.zamanalwsl.net/news/article/20794/ ,,,,https://www.syria-today.org/%D8%A7%D9%84%D8%A3%D8%AD%D8%B2%D8%A7%D8%A8-%D9%81%D9%8A-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D8%A3%D9%8A-%D8%AA%D8%B4%D8%B1%D9%8A%D8%B9-%D9%8A%D8%B3%D8%AA%D8%AD%D9%82-%D8%A7%D9%84%D9%84%D8%AD%D8%B8%D8%A9/,73
7,"المرسوم التشريعي رقم 55
تعديل المادة 17 من قانون اصول المحاكمات الجزائية ",الحكومة السورية السابقة,رئيس الجمهورية السابق,2011,أصول المحاكمات,عدل المرسوم قانون أصول المحاكمات الجزائية، مانحاً الضابطة العدلية صلاحية التحقيق في جرائم محددة، مع جواز التحفظ على المشتبه بهم لمدة سبعة أيام قابلة للتجديد بقرار قضائي لتصل بحد أقصى إلى ستين يوماً.,مناطق الحكومة السورية السابقة ,"زيادة صلاحيات الضابطة العدلية:
يشمل المرسوم منح الضابطة العدلية صلاحيات واسعة للتحقيق في الجرائم، وهذا يمكن أن يؤدي إلى الانتهاكات في حقوق الأفراد، حيث يمكن أن تتم عمليات الاستماع والاحتجاز لفترات طويلة تصل إلى ستين يوماً دون إشراف قضائي كافٍ
فترة الاحتفاظ بالمشتبه بهم:
المرسوم ينص على إمكانية احتجاز المشتبه بهم لمدة تصل إلى سبعة أيام قابلة للتجديد، مما وضع شبهة حول عدم مراعاة حق الفرد في الحرية والتوقيف التعسفي، خاصة في غياب ضمانات فعلية للتحقق من طبيعة التهم
غياب الضوابط القانونية:
المرسوم جاء بدون إطار قانوني واضح يحدد كيفية استخدام السلطات الممنوحة للضابطة العدلية، مما يزيد من خطر الاستخدام التعسفي لهذه الصلاحيات، دون وجود آليات كافية للمراقبة والمحاسبة
تعديل النصوص القانونية السابقة بشكل قسري:
التعديل الذي ينص على أن النصوص المخالفة تُعدلت حكما حسب أحكام هذا المرسوم قد يهدد استقرار القوانين الحالية، مما يؤدي إلى ازدواجية في التطبيق القانوني ويصعب على أمام المحامين والمتقاضين فهم القانون وتطبيقه
النقص في ضمانات حقوق الإنسان:
بوجه عام، يعتبر المرسوم الحديدي في منح السلطات، ويغفل اعتبار الحقوق الأساسية للأشخاص، مما يتعارض مع مبادئ العدالة الجنائية وحقوق الإنسان المنصوص عليها في المعاهدات الدولية التي تلتزم بها الدول
عدم توفير آليات دفاع قانونية:
المرسوم لم يوضح آليات وكيفية الدفاع عن حقوق المشتبه بهم، مما يترك مساحة واسعة للسلوكيات التعسفية التي قد تقوم بها الضابطة العدلية",المعتقلين/ات ,قيد التنفيذ,http://parliament.gov.sy/arabic/index.php?node=5556&cat=4443& ,,"حسب محامي يعمل ضمن الأراضي السورية قال: منح المرسوم أجهزة الضابطة العدلية صلاحيات واسعة للتحفظ على المشتبه بهم لفترات طويلة نسبياً (تصل إلى شهرين) دون عرض فوري على القضاء، مما يمثل استثناءً من القواعد العامة في التوقيف
ثم إن هذه التعديلات تهدف إلى ""شرعنة"" فترات توقيف طويلة للتحقيق في جرائم أمنية محددة، مما يقلص الضمانات التقليدية للمشتبه به مقارنة بجرائم الحق العام العادية",,,199
8,"القانون رقم 11
المتعلق بتملك الأجانب للعقارات في سوريا",الحكومة السورية السابقة,رئيس الجمهورية السابق,2011,قوانين خاصة أو استثنائية,نظم القانون تملك غير السوريين للعقارات السكنية بقرار من وزير الداخلية، شرط أن تكون أسرة واحدة ولعقار واحد بمساحة محددة، مع منع التصرف به قبل عامين، وخضوع الإيجار لمدد وشروط أمنية معينة.,مناطق الحكومة السورية السابقة ,"نص القانون على أن الأصل جواز تملّك غير السوريين خلافًا للقانون السابق عام 2008.
 نصت المادة /1/ منه على منح مجلس الوزراء حق إعطاء الاستثناءات من أحكام القانون، وأن يمنح حق التملك لغير السوري دون أي ضوابط، وقد جاءت المادة مطلقة من أي تحديد أو شروط. ومن المعروف أن التشريع في كل دول العالم يكبح جموح السلطة التنفيذية ويقيّد صلاحياتها لتمارسها ضمن ضوابط القانون، إلا أن المشرّع السوري لم يدرك خطورة هذه المادة التي تتمثل في إمكانية قيام مجلس الوزراء بمنح ملايين الاستثناءات.
فرض القانون /11/ لعام 2008 قيدًا على المالك غير السوري يمنعه من التصرف بالعقار الذي تملّكه بموجب هذا القانون قبل مرور خمس سنوات، لكن القانون الجديد عدّل المدة وخفضها إلى السنتين فقط.
منح القانون غير السوريين حق تملّك العقارات التي آلت إليهم إرثًا أو انتقالًا أو وصيّة بموجب استثناء غير مشروط يُمنح من مجلس الوزراء (المادة /3/ فقرة ب).
من الجدير بالذكر أن تاريخ صدور هذا القانون هو 10 من نيسان 2011، أي بعد شهر من بدء الاحتجاجات واندلاع الثورة السورية.",جميع السوريين/ات كونه يخشى من ان يكون القانون أداة لجلب المرتزقة,قيد التنفيذ,https://www.facebook.com/lawsyrianlaw/posts/%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%B1%D9%82%D9%85-11-%D9%84%D8%B9%D8%A7%D9%85-2011-%D8%AA%D9%86%D8%B8%D9%8A%D9%85-%D8%AA%D9%85%D9%84%D9%83-%D8%A7%D9%84%D8%AD%D9%82%D9%88%D9%82-%D8%A7%D9%84%D8%B9%D9%8A%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D8%B9%D9%82%D8%A7%D8%B1%D9%8A%D8%A9-%D9%84%D8%BA%D9%8A%D8%B1-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A%D9%8A%D9%86%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%84%D8%AC%D9%85/2812613852310564/?locale=ar_AR,,,,قوانين أجازت تملّك الأجانب للعقارات في سوريا.. هذه أبرز مخاطرها - عنب بلدي,161
9,"المرسوم التشريعي رقم 107
قانون الإدارة المحلية",الحكومة السورية السابقة,رئيس الجمهورية السابق,2011,قوانين عامة,هدف القانون إلى تطبيق اللامركزية عبر نقل السلطات والمسؤوليات للمجالس المحلية المنتخبَة. يمنح الوحدات الإدارية استقلالاً مالياً وإدارياً لتمكينها من قيادة التنمية المحلية، تبسيط الإجراءات، وتعزيز الموارد الذاتية لخدمة المجتمع,مناطق الحكومة السورية السابقة ,يوضح تحليل القانون رقم 107 لعام 2011 أن اللامركزية المطروحة فيه بقيت هيكلية وشكلية، بينما استمرت القبضة المركزية في التحكم بمفاصل القرار؛ حيث كرس القانون تبعية المجالس المحلية للسلطة التنفيذية من خلال منح المحافظ المعين صلاحيات واسعة في التدخل بعمل المؤسسات، مما جعل ولاء المسؤولين يتجه نحو إرضاء السلطة والأجهزة الأمنية بدلاً من خدمة الناخبين. وتبرز المادة 122 كأحد أخطر الثغرات، إذ منحت رئيس الجمهورية الحق المطلق في حل المجالس المنتخبَة، مما يفرغ العملية الديمقراطية من محتواها ويجعلها رهينة للقرار السياسي والأمني. كما استمر القانون في تغليب الاعتبارات الأمنية والولاء التام كشرط لشغل المناصب الإدارية، مما أدى في النهاية إلى سلب الصلاحيات الفعلية من الوحدات المحلية وتعزيز استئثار المركز بسلطة اتخاذ القرار، ليكون القانون بذلك أداة لترسيخ الحكم الشمولي تحت غطاء إداري حديث,عموم السوريين/ات كونه منح سلطات واسعة للمحافظ الذي يعين من رئيس الدولة,قيد التنفيذ,https://www.syrian-lawyer.club/%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A7%D9%84%D8%A7%D8%AF%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D9%85%D8%AD%D9%84%D9%8A%D8%A9-%D9%81%D9%8A-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D8%B1%D9%82%D9%85-107-%D9%84%D8%B9/,,,,المرسوم التشريعي رقم 107 صدى لديمقراطية مفقودة ولسلطة مسلوبة: – المركز السوري سيرز,123
10,"المرسوم التشريعي رقم 1
ﻗﺎﻧﻮن ﺧﺪﻣﺔ ﻋﺴﻜﺮﻳﻲ ﻗﻮى اﻷﻣﻦ اﻟﺪاﺧﻠﻲ",الحكومة السورية السابقة,رئيس الجمهورية السابق,2012,قوانين خاصة أو استثنائية,يُنظم هذا القانون القواعد الخاصة بخدمة الضباط وصف الضباط والأفراد في قوى الأمن الداخلي. وتعتبر المحكمة المسلكية الشرطية (ومقرها دمشق) الجهة المختصة بالنظر في الشؤون المسلكية لعسكريي الشرطة وفرض العقوبات التأديبية بحقهم,,"يُكرس المرسوم التشريعي رقم 1 لعام 2012 الخاص بخدمة عسكريي قوى الأمن الداخلي بنية مؤسساتية تضع الجهاز الأمني فوق المساءلة القانونية العادية، حيث تبرز ""المحاكم المسلكية"" كأداة لحماية العناصر من القضاء المدني والجزائي المستقل. تكمن السلبية الجوهرية في اشتراط الحصول على ""موافقة ملاحقة"" أو أمر ملاحقة من المراجع المسلكية العليا قبل قدرة القضاء على تحريك دعوى الحق العام ضد أي عنصر أمن ارتكب جرماً أثناء ممارسة الوظيفة أو ""بسببها""، وهو مفهوم فضفاض يُستخدم للتغطية على الانتهاكات الجسيمة. هذا النظام يمنح حصانة فعلية من الملاحقة القضائية، إذ تصبح الجهة التابعة للمتهم هي الحكم والخصم في آن واحد، مما يؤدي غالباً إلى حفظ القضايا أو الاكتفاء بعقوبات مسلكية إدارية بسيطة بدلاً من المحاسبة الجنائية. إن هذا التداخل الصارخ ينسف مبدأ ""استقلالية القضاء"" تماماً، حيث تُشل يد القاضي عن ممارسة ولايته القانونية على الجرائم المرتكبة.",المعارضين/ات ,غير معلوم,https://www.ohchr.org/sites/default/files/documents/issues/torture/cfi-report-hrc52/submissions/csos/submission-srtorture-hrc52-cso-SyrianNGOs-3.pdf,,,,,
